"Year","trade","type","TotalTrade"
1982,"export","CHF",18077635628
1982,"export","KG",781663
1982,"import","CHF",20797232630
1982,"import","KG",1014660
1983,"export","CHF",15614720897
1983,"export","KG",553581
1983,"import","CHF",20754131303
1983,"import","KG",750450
1984,"export","CHF",23917537689
1984,"export","KG",881147
1984,"import","CHF",19627101391
1984,"import","KG",761825
1985,"export","CHF",22983415007
1985,"export","KG",921664
1985,"import","CHF",21290001365
1985,"import","KG",878783
1986,"export","CHF",19346535677
1986,"export","KG",914579
1986,"import","CHF",23432089218
1986,"import","KG",1190933
1987,"export","CHF",14170844196
1987,"export","KG",661071
1987,"import","CHF",15731122696
1987,"import","KG",906911
1988,"export","CHF",17061147271
1988,"export","KG",830898
1988,"import","CHF",17566446897
1988,"import","KG",963799
1989,"export","CHF",22053383961
1989,"export","KG",1099772
1989,"import","CHF",20593495796
1989,"import","KG",1195720
1990,"export","CHF",18747492808
1990,"export","KG",1095838
1990,"import","CHF",21705630519
1990,"import","KG",1399172
1991,"export","CHF",17065629925
1991,"export","KG",1029694
1991,"import","CHF",17705608621
1991,"import","KG",1186673
1992,"export","CHF",18330379152
1992,"export","KG",1176937
1992,"import","CHF",20172201710
1992,"import","KG",1449555
1993,"export","CHF",16016532692
1993,"export","KG",973382
1993,"import","CHF",19000199997
1993,"import","KG",1268763
1994,"export","CHF",15182904524
1994,"export","KG",900151
1994,"import","CHF",15717552509
1994,"import","KG",1039374
1995,"export","CHF",16665480163
1995,"export","KG",1166772
1995,"import","CHF",16892391590
1995,"import","KG",1202305
1996,"export","CHF",17614884106
1996,"export","KG",1184426
1996,"import","CHF",19004685986
1996,"import","KG",1280026
1997,"export","CHF",25728877159
1997,"export","KG",1662761
1997,"import","CHF",23963886217
1997,"import","KG",1585262
1998,"export","CHF",21002058756
1998,"export","KG",1524800
1998,"import","CHF",20129994441
1998,"import","KG",1543200
1999,"export","CHF",16148307687
1999,"export","KG",1204148
1999,"import","CHF",17772924752
1999,"import","KG",1396633
2000,"export","CHF",19091786482
2000,"export","KG",1256623
2000,"import","CHF",17716695955
2000,"import","KG",1273795
2001,"export","CHF",18406535567
2001,"export","KG",1251891
2001,"import","CHF",18309528916
2001,"import","KG",1337274
2002,"export","CHF",14107925911
2002,"export","KG",908059
2002,"import","CHF",17245418179
2002,"import","KG",1209404
2003,"export","CHF",13677348437
2003,"export","KG",872873
2003,"import","CHF",16686386328
2003,"import","KG",1209937
2004,"export","CHF",18007642410
2004,"export","KG",1101510
2004,"import","CHF",13239146779
2004,"import","KG",1002039
2005,"export","CHF",23182114238
2005,"export","KG",1321824
2005,"import","CHF",24494096954
2005,"import","KG",1621987
2006,"export","CHF",22913875979
2006,"export","KG",948289
2006,"import","CHF",25131908522
2006,"import","KG",1384688
2007,"export","CHF",28613697240
2007,"export","KG",1081932
2007,"import","CHF",32062832506
2007,"import","KG",1614355
2008,"export","CHF",38950307156
2008,"export","KG",1294999
2008,"import","CHF",50038121564
2008,"import","KG",2084836
2009,"export","CHF",34018083667
2009,"export","KG",989987
2009,"import","CHF",55193421861
2009,"import","KG",2185810
2010,"export","CHF",63008394108
2010,"export","KG",1571451
2010,"import","CHF",70788774622
2010,"import","KG",2326903
2011,"export","CHF",76330212654
2011,"export","KG",1818818
2011,"import","CHF",96049821402
2011,"import","KG",2671536
2012,"export","CHF",79379049195
2012,"export","KG",1570005
2012,"import","CHF",88804131913
2012,"import","KG",2264992
2013,"export","CHF",117678711374
2013,"export","KG",2777111
2013,"import","CHF",109787619410
2013,"import","KG",3080456
2014,"export","CHF",66445531938
2014,"export","KG",3926508
2014,"import","CHF",65931579894
2014,"import","KG",3487279
